first_order_month,order_month,customer_id,retention_rate
2016-09,2016-09,3,1.0
2016-10,2016-10,308,1.0
2016-12,2016-12,1,1.0
2017-01,2017-01,789,1.0
2017-02,2017-02,1733,1.0
2017-03,2017-03,2641,1.0
2017-04,2017-04,2391,1.0
2017-05,2017-05,3660,1.0
2017-06,2017-06,3217,1.0
2017-07,2017-07,3969,1.0
2017-08,2017-08,4293,1.0
2017-09,2017-09,4243,1.0
2017-10,2017-10,4568,1.0
2017-11,2017-11,7451,1.0
2017-12,2017-12,5624,1.0
2018-01,2018-01,7220,1.0
2018-02,2018-02,6694,1.0
2018-03,2018-03,7188,1.0
2018-04,2018-04,6934,1.0
2018-05,2018-05,6853,1.0
2018-06,2018-06,6160,1.0
2018-07,2018-07,6273,1.0
2018-08,2018-08,6452,1.0
2018-09,2018-09,1,1.0
